NAICS,Industry,Third_Quarter_Payroll_Thousands,Total_Businesses,Size_0_4,Size_5_9,Size_10_19,Size_20_49,Size_50_99,Size_100_249,Size_250_499,Size_500_999,Size_1000_Plus
"","Total All Industries",399433657,1871800,1408729,177893,130359,94555,34650,18313,4445,1698,1158
"11","Agriculture, Forestry, Fishing and Hunting",5250451,16451,8602,2506,1989,1727,727,552,219,79,50
"111","Crop Production",2054294,8757,4890,1441,1058,772,286,203,69,24,14
"112","Animal Production and Aquaculture",377513,2439,1347,365,321,311,(2),(2),4,,
"113","Forestry and Logging",53224,307,161,69,41,27,(2),(1),,,
"114","Fishing, Hunting and Trapping",6531,240,210,23,7,,,,,,
"115","Support Activities for Agriculture and Forestry",2758888,4708,1994,608,562,617,366,324,146,55,36
"21","Mining, Quarrying, and Oil and Gas Extraction",492549,796,388,116,115,105,42,20,6,4,
"211","Oil and Gas Extraction",148026,125,66,17,13,15,7,(2),(1),(1),
"212","Mining (except Oil and Gas)",159239,285,119,52,47,40,16,(2),(1),(1),
"213","Support Activities for Mining",185283,386,203,47,55,50,19,8,(2),(1),
"22","Utilities",2644451,1960,1089,279,221,168,87,74,19,(2),(1)
"23","Construction",20515061,94500,60662,15155,9330,6065,2015,989,197,70,17
"236","Construction of Buildings",4727183,32756,23404,4720,2562,1438,418,171,33,(2),(1)
"237","Heavy and Civil Engineering Construction",2925317,3936,1794,596,530,529,265,164,45,(2),(1)
"238","Specialty Trade Contractors",12862562,57808,35464,9839,6238,4098,1332,654,119,50,14
"31 - 33","Manufacturing",35952733,45019,20809,7441,6296,5642,2403,1684,482,(2),(2)
"311","Food Manufacturing",2704891,5097,2077,808,812,735,269,261,88,36,11
"312","Beverage and Tobacco Product Manufacturing",1189131,3239,1360,604,544,441,173,83,26,5,3
"313","Textile Mills",68534,287,161,37,38,31,10,(2),(1),(1),
"314","Textile Product Mills",103634,598,319,121,79,56,12,8,3,,
"315","Apparel Manufacturing",373501,1870,1124,274,216,159,58,32,(2),(1),(1)
"316","Leather and Allied Product Manufacturing",58285,176,110,26,19,13,4,(1),(1),(1),
"321","Wood Product Manufacturing",402066,1141,497,183,182,160,55,54,(2),(1),
"322","Paper Manufacturing",411600,464,138,62,61,75,56,67,5,,
"323","Printing and Related Support Activities",479567,3035,1850,543,291,233,79,33,(2),(1),
"324","Petroleum and Coal Products Manufacturing",419271,222,93,36,29,26,15,10,8,(2),(1)
"325","Chemical Manufacturing",2324776,2588,1168,393,362,347,173,92,36,(2),(1)
"326","Plastics and Rubber Products Manufacturing",747737,1294,442,195,212,224,120,81,16,(2),(1)
"327","Nonmetallic Mineral Product Manufacturing",618870,1300,468,228,224,229,91,45,(2),(1),
